"Year","State","Emissions","Primary.x","Elec.x","Use.x","Primary.y","Elec.y","Use.y"
2010,"Nordrhein-Westfalen",15.4,"3.7","7.9","247.1","3.7","7.9","247.1"
2010,"Rheinland-Pfalz",6.7,"9.5","15.2","167.6","9.5","15.2","167.6"
2010,"Saarland",18.7,"3.3","5.4","242.4","3.3","5.4","242.4"
2010,"Sachsen",11.4,"7.5","13.6","153","7.5","13.6","153"
2010,"Sachsen-Anhalt",11.7,"14.5","41.9","223.1","14.5","41.9","223.1"
2010,"Schleswig-Holstein",6.7,"12","51.3","155","12","51.3","155"
2010,"Thüringen",4.8,"20.4","19.5","111.4","20.4","19.5","111.4"
2011,"Baden-Württemberg",6.3,"10.4","15.5","133.2","10.4","15.5","133.2"
2011,"Bayern",6,"14.2","27.7","162.2","14.2","27.7","162.2"
2011,"Berlin",5.1,"3.3","2.8","80.4","3.3","2.8","80.4"
2011,"Brandenburg",22.8,"17.7","57.6","271.1","17.7","57.6","271.1"
2011,"Bremen",20.2,"5","9","240.7","5","9","240.7"
2011,"Hamburg",6.4,"4.6","2.8","133.9","4.6","2.8","133.9"
2011,"Hessen",6.1,"7.8","9.8","145","7.8","9.8","145"
2011,"Niedersachsen",8.5,"12.6","34.6","170.3","12.6","34.6","170.3"
2011,"Rheinland-Pfalz",6.3,"9.8","16.7","158.4","9.8","16.7","158.4"
2011,"Saarland",20.7,"3.2","5.9","255.8","3.2","5.9","255.8"
2011,"Sachsen",11.2,"7.9","16.8","146.3","7.9","16.8","146.3"
2011,"Sachsen-Anhalt",11.9,"16.4","49.6","220.9","16.4","49.6","220.9"
2011,"Schleswig-Holstein",6.1,"14.5","60.8","146.3","14.5","60.8","146.3"
2011,"Thüringen",4.6,"21.5","23.6","106.7","21.5","23.6","106.7"
2012,"Baden-Württemberg",6.2,"12.1","18.3","132.1","12.1","18.3","132.1"
2012,"Bayern",5.9,"15.6","32.7","162","15.6","32.7","162"
2012,"Berlin",5.4,"3.6","2.1","89.2","3.6","2.1","89.2"
2012,"Brandenburg",23.4,"18.4","58.6","278","18.4","58.6","278"
2012,"Bremen",20.6,"5.2","10.3","245.5","5.2","10.3","245.5"
2012,"Hamburg",6.2,"4.8","2.9","139.6","4.8","2.9","139.6"
2012,"Hessen",6.1,"8.3","11.1","142","8.3","11.1","142"
2012,"Nordrhein-Westfalen",15.5,"4.3","9.7","239.3","4.3","9.7","239.3"
2012,"Rheinland-Pfalz",6.3,"10.7","20.6","158.1","10.7","20.6","158.1"
2012,"Saarland",21.6,"3","6.1","269.3","3","6.1","269.3"
2012,"Sachsen",11.7,"8.1","18.4","151.2","8.1","18.4","151.2"
2012,"Sachsen-Anhalt",12.2,"16.9","53.9","227.3","16.9","53.9","227.3"
2012,"Schleswig-Holstein",6.3,"17","70.3","149.1","17","70.3","149.1"
2012,"Thüringen",4.8,"21.7","25.6","111","21.7","25.6","111"
